entity,scope,metric,stage_left,stage_right,common_entities,pearson_r,spearman_r
donor,conv,cos_q_a,rounds_151_300,rounds_301_500,100,0.08122382602616374,0.035343534353435346
donor,classifier,response_change_ratio,rounds_1_150,rounds_151_300,100,0.18035732609938737,0.11486348634863486
donor,classifier,response_change_ratio,rounds_1_150,rounds_301_500,100,-0.021791049742127047,0.035391539153915394
donor,classifier,response_change_ratio,rounds_151_300,rounds_301_500,100,0.1592422219560045,0.18664266426642664
donor,classifier,cancellation_coefficient,rounds_1_150,rounds_151_300,100,0.7260245291285895,0.7067026702670267
donor,classifier,cancellation_coefficient,rounds_1_150,rounds_301_500,100,0.596111776830295,0.6116171617161716
donor,classifier,cancellation_coefficient,rounds_151_300,rounds_301_500,100,0.7034626173603915,0.7914791479147915
donor,classifier,survival_ratio,rounds_1_150,rounds_151_300,100,0.16348630926099034,0.22148214821482148
donor,classifier,survival_ratio,rounds_1_150,rounds_301_500,100,-0.09289060693036383,-0.008172817281728173
donor,classifier,survival_ratio,rounds_151_300,rounds_301_500,100,0.06264112782267874,0.1178997899789979
donor,classifier,survival_cosine,rounds_1_150,rounds_151_300,100,0.6912239388050112,0.6325952595259526
donor,classifier,survival_cosine,rounds_1_150,rounds_301_500,100,0.6074854394146947,0.53998199819982
donor,classifier,survival_cosine,rounds_151_300,rounds_301_500,100,0.7456279758214642,0.7393939393939394
donor,classifier,response_cosine,rounds_1_150,rounds_151_300,100,0.8281942094927344,0.8097929792979298
donor,classifier,response_cosine,rounds_1_150,rounds_301_500,100,0.7098281200144124,0.7101710171017102
donor,classifier,response_cosine,rounds_151_300,rounds_301_500,100,0.7371464742125056,0.7401020102010201
donor,classifier,cos_q_a,rounds_1_150,rounds_151_300,100,0.21881571157833538,0.19897989798979898
donor,classifier,cos_q_a,rounds_1_150,rounds_301_500,100,0.29860616326867506,0.29036903690369037
donor,classifier,cos_q_a,rounds_151_300,rounds_301_500,100,0.26951358354911825,0.261986198619862
