round,verification_performed,normal_aggregate_sha256_before_shadow,normal_aggregate_sha256_after_shadow,loaded_global_sha256,shadow_left_aggregate_unchanged,global_equals_normal_aggregate
68,False,not_computed,not_computed,not_computed,True,True
69,False,not_computed,not_computed,not_computed,True,True
70,False,not_computed,not_computed,not_computed,True,True
71,False,not_computed,not_computed,not_computed,True,True
72,False,not_computed,not_computed,not_computed,True,True
73,False,not_computed,not_computed,not_computed,True,True
74,False,not_computed,not_computed,not_computed,True,True
75,False,not_computed,not_computed,not_computed,True,True
76,False,not_computed,not_computed,not_computed,True,True
77,False,not_computed,not_computed,not_computed,True,True
78,False,not_computed,not_computed,not_computed,True,True
79,False,not_computed,not_computed,not_computed,True,True
80,False,not_computed,not_computed,not_computed,True,True
81,False,not_computed,not_computed,not_computed,True,True
82,False,not_computed,not_computed,not_computed,True,True
83,False,not_computed,not_computed,not_computed,True,True
84,False,not_computed,not_computed,not_computed,True,True
85,False,not_computed,not_computed,not_computed,True,True
86,False,not_computed,not_computed,not_computed,True,True
87,False,not_computed,not_computed,not_computed,True,True
88,False,not_computed,not_computed,not_computed,True,True
89,False,not_computed,not_computed,not_computed,True,True
90,False,not_computed,not_computed,not_computed,True,True
91,False,not_computed,not_computed,not_computed,True,True
92,False,not_computed,not_computed,not_computed,True,True
93,False,not_computed,not_computed,not_computed,True,True
94,False,not_computed,not_computed,not_computed,True,True
95,False,not_computed,not_computed,not_computed,True,True
96,False,not_computed,not_computed,not_computed,True,True
97,False,not_computed,not_computed,not_computed,True,True
98,False,not_computed,not_computed,not_computed,True,True
99,False,not_computed,not_computed,not_computed,True,True
100,False,not_computed,not_computed,not_computed,True,True
101,False,not_computed,not_computed,not_computed,True,True
102,False,not_computed,not_computed,not_computed,True,True
103,False,not_computed,not_computed,not_computed,True,True
104,False,not_computed,not_computed,not_computed,True,True
105,False,not_computed,not_computed,not_computed,True,True
106,False,not_computed,not_computed,not_computed,True,True
107,False,not_computed,not_computed,not_computed,True,True
108,False,not_computed,not_computed,not_computed,True,True
109,False,not_computed,not_computed,not_computed,True,True
110,False,not_computed,not_computed,not_computed,True,True
111,False,not_computed,not_computed,not_computed,True,True
112,False,not_computed,not_computed,not_computed,True,True
113,False,not_computed,not_computed,not_computed,True,True
114,False,not_computed,not_computed,not_computed,True,True
115,False,not_computed,not_computed,not_computed,True,True
116,False,not_computed,not_computed,not_computed,True,True
117,False,not_computed,not_computed,not_computed,True,True
118,False,not_computed,not_computed,not_computed,True,True
119,False,not_computed,not_computed,not_computed,True,True
120,False,not_computed,not_computed,not_computed,True,True
121,False,not_computed,not_computed,not_computed,True,True
122,False,not_computed,not_computed,not_computed,True,True
123,False,not_computed,not_computed,not_computed,True,True
124,False,not_computed,not_computed,not_computed,True,True
125,False,not_computed,not_computed,not_computed,True,True
126,False,not_computed,not_computed,not_computed,True,True
127,False,not_computed,not_computed,not_computed,True,True
128,False,not_computed,not_computed,not_computed,True,True
129,False,not_computed,not_computed,not_computed,True,True
130,False,not_computed,not_computed,not_computed,True,True
131,False,not_computed,not_computed,not_computed,True,True
132,False,not_computed,not_computed,not_computed,True,True
133,False,not_computed,not_computed,not_computed,True,True
134,False,not_computed,not_computed,not_computed,True,True
135,False,not_computed,not_computed,not_computed,True,True
136,False,not_computed,not_computed,not_computed,True,True
137,False,not_computed,not_computed,not_computed,True,True
138,False,not_computed,not_computed,not_computed,True,True
139,False,not_computed,not_computed,not_computed,True,True
140,False,not_computed,not_computed,not_computed,True,True
141,False,not_computed,not_computed,not_computed,True,True
142,False,not_computed,not_computed,not_computed,True,True
143,False,not_computed,not_computed,not_computed,True,True
144,False,not_computed,not_computed,not_computed,True,True
145,False,not_computed,not_computed,not_computed,True,True
146,False,not_computed,not_computed,not_computed,True,True
147,False,not_computed,not_computed,not_computed,True,True
148,False,not_computed,not_computed,not_computed,True,True
149,False,not_computed,not_computed,not_computed,True,True
150,False,not_computed,not_computed,not_computed,True,True
151,False,not_computed,not_computed,not_computed,True,True
152,False,not_computed,not_computed,not_computed,True,True
153,False,not_computed,not_computed,not_computed,True,True
154,False,not_computed,not_computed,not_computed,True,True
155,False,not_computed,not_computed,not_computed,True,True
156,False,not_computed,not_computed,not_computed,True,True
157,False,not_computed,not_computed,not_computed,True,True
158,False,not_computed,not_computed,not_computed,True,True
159,False,not_computed,not_computed,not_computed,True,True
160,False,not_computed,not_computed,not_computed,True,True
161,False,not_computed,not_computed,not_computed,True,True
162,False,not_computed,not_computed,not_computed,True,True
163,False,not_computed,not_computed,not_computed,True,True
164,False,not_computed,not_computed,not_computed,True,True
165,False,not_computed,not_computed,not_computed,True,True
166,False,not_computed,not_computed,not_computed,True,True
167,False,not_computed,not_computed,not_computed,True,True
168,False,not_computed,not_computed,not_computed,True,True
169,False,not_computed,not_computed,not_computed,True,True
170,False,not_computed,not_computed,not_computed,True,True
171,False,not_computed,not_computed,not_computed,True,True
172,False,not_computed,not_computed,not_computed,True,True
173,False,not_computed,not_computed,not_computed,True,True
174,False,not_computed,not_computed,not_computed,True,True
175,False,not_computed,not_computed,not_computed,True,True
176,False,not_computed,not_computed,not_computed,True,True
177,False,not_computed,not_computed,not_computed,True,True
178,False,not_computed,not_computed,not_computed,True,True
179,False,not_computed,not_computed,not_computed,True,True
180,False,not_computed,not_computed,not_computed,True,True
181,False,not_computed,not_computed,not_computed,True,True
182,False,not_computed,not_computed,not_computed,True,True
183,False,not_computed,not_computed,not_computed,True,True
184,False,not_computed,not_computed,not_computed,True,True
185,False,not_computed,not_computed,not_computed,True,True
186,False,not_computed,not_computed,not_computed,True,True
187,False,not_computed,not_computed,not_computed,True,True
188,False,not_computed,not_computed,not_computed,True,True
189,False,not_computed,not_computed,not_computed,True,True
190,False,not_computed,not_computed,not_computed,True,True
191,False,not_computed,not_computed,not_computed,True,True
192,False,not_computed,not_computed,not_computed,True,True
193,False,not_computed,not_computed,not_computed,True,True
194,False,not_computed,not_computed,not_computed,True,True
195,False,not_computed,not_computed,not_computed,True,True
196,False,not_computed,not_computed,not_computed,True,True
197,False,not_computed,not_computed,not_computed,True,True
198,False,not_computed,not_computed,not_computed,True,True
199,False,not_computed,not_computed,not_computed,True,True
200,False,not_computed,not_computed,not_computed,True,True
201,False,not_computed,not_computed,not_computed,True,True
202,False,not_computed,not_computed,not_computed,True,True
203,False,not_computed,not_computed,not_computed,True,True
204,False,not_computed,not_computed,not_computed,True,True
205,False,not_computed,not_computed,not_computed,True,True
206,False,not_computed,not_computed,not_computed,True,True
207,False,not_computed,not_computed,not_computed,True,True
208,False,not_computed,not_computed,not_computed,True,True
209,False,not_computed,not_computed,not_computed,True,True
210,False,not_computed,not_computed,not_computed,True,True
211,False,not_computed,not_computed,not_computed,True,True
212,False,not_computed,not_computed,not_computed,True,True
213,False,not_computed,not_computed,not_computed,True,True
214,False,not_computed,not_computed,not_computed,True,True
215,False,not_computed,not_computed,not_computed,True,True
216,False,not_computed,not_computed,not_computed,True,True
217,False,not_computed,not_computed,not_computed,True,True
218,False,not_computed,not_computed,not_computed,True,True
219,False,not_computed,not_computed,not_computed,True,True
220,False,not_computed,not_computed,not_computed,True,True
221,False,not_computed,not_computed,not_computed,True,True
222,False,not_computed,not_computed,not_computed,True,True
223,False,not_computed,not_computed,not_computed,True,True
224,False,not_computed,not_computed,not_computed,True,True
225,False,not_computed,not_computed,not_computed,True,True
226,False,not_computed,not_computed,not_computed,True,True
227,False,not_computed,not_computed,not_computed,True,True
228,False,not_computed,not_computed,not_computed,True,True
229,False,not_computed,not_computed,not_computed,True,True
230,False,not_computed,not_computed,not_computed,True,True
231,False,not_computed,not_computed,not_computed,True,True
232,False,not_computed,not_computed,not_computed,True,True
233,False,not_computed,not_computed,not_computed,True,True
234,False,not_computed,not_computed,not_computed,True,True
235,False,not_computed,not_computed,not_computed,True,True
236,False,not_computed,not_computed,not_computed,True,True
237,False,not_computed,not_computed,not_computed,True,True
238,False,not_computed,not_computed,not_computed,True,True
239,False,not_computed,not_computed,not_computed,True,True
240,False,not_computed,not_computed,not_computed,True,True
241,False,not_computed,not_computed,not_computed,True,True
242,False,not_computed,not_computed,not_computed,True,True
243,False,not_computed,not_computed,not_computed,True,True
244,False,not_computed,not_computed,not_computed,True,True
245,False,not_computed,not_computed,not_computed,True,True
246,False,not_computed,not_computed,not_computed,True,True
247,False,not_computed,not_computed,not_computed,True,True
248,False,not_computed,not_computed,not_computed,True,True
249,False,not_computed,not_computed,not_computed,True,True
250,False,not_computed,not_computed,not_computed,True,True
251,False,not_computed,not_computed,not_computed,True,True
252,False,not_computed,not_computed,not_computed,True,True
253,False,not_computed,not_computed,not_computed,True,True
254,False,not_computed,not_computed,not_computed,True,True
255,False,not_computed,not_computed,not_computed,True,True
256,False,not_computed,not_computed,not_computed,True,True
257,False,not_computed,not_computed,not_computed,True,True
258,False,not_computed,not_computed,not_computed,True,True
259,False,not_computed,not_computed,not_computed,True,True
260,False,not_computed,not_computed,not_computed,True,True
261,False,not_computed,not_computed,not_computed,True,True
262,False,not_computed,not_computed,not_computed,True,True
263,False,not_computed,not_computed,not_computed,True,True
264,False,not_computed,not_computed,not_computed,True,True
265,False,not_computed,not_computed,not_computed,True,True
266,False,not_computed,not_computed,not_computed,True,True
267,False,not_computed,not_computed,not_computed,True,True
268,False,not_computed,not_computed,not_computed,True,True
269,False,not_computed,not_computed,not_computed,True,True
270,False,not_computed,not_computed,not_computed,True,True
271,False,not_computed,not_computed,not_computed,True,True
272,False,not_computed,not_computed,not_computed,True,True
273,False,not_computed,not_computed,not_computed,True,True
274,False,not_computed,not_computed,not_computed,True,True
275,False,not_computed,not_computed,not_computed,True,True
276,False,not_computed,not_computed,not_computed,True,True
277,False,not_computed,not_computed,not_computed,True,True
278,False,not_computed,not_computed,not_computed,True,True
279,False,not_computed,not_computed,not_computed,True,True
280,False,not_computed,not_computed,not_computed,True,True
281,False,not_computed,not_computed,not_computed,True,True
282,False,not_computed,not_computed,not_computed,True,True
283,False,not_computed,not_computed,not_computed,True,True
284,False,not_computed,not_computed,not_computed,True,True
285,False,not_computed,not_computed,not_computed,True,True
286,False,not_computed,not_computed,not_computed,True,True
287,False,not_computed,not_computed,not_computed,True,True
288,False,not_computed,not_computed,not_computed,True,True
289,False,not_computed,not_computed,not_computed,True,True
290,False,not_computed,not_computed,not_computed,True,True
291,False,not_computed,not_computed,not_computed,True,True
292,False,not_computed,not_computed,not_computed,True,True
293,False,not_computed,not_computed,not_computed,True,True
294,False,not_computed,not_computed,not_computed,True,True
295,False,not_computed,not_computed,not_computed,True,True
296,False,not_computed,not_computed,not_computed,True,True
297,False,not_computed,not_computed,not_computed,True,True
298,False,not_computed,not_computed,not_computed,True,True
299,False,not_computed,not_computed,not_computed,True,True
300,False,not_computed,not_computed,not_computed,True,True
301,False,not_computed,not_computed,not_computed,True,True
302,False,not_computed,not_computed,not_computed,True,True
303,False,not_computed,not_computed,not_computed,True,True
304,False,not_computed,not_computed,not_computed,True,True
305,False,not_computed,not_computed,not_computed,True,True
306,False,not_computed,not_computed,not_computed,True,True
307,False,not_computed,not_computed,not_computed,True,True
308,False,not_computed,not_computed,not_computed,True,True
309,False,not_computed,not_computed,not_computed,True,True
310,False,not_computed,not_computed,not_computed,True,True
311,False,not_computed,not_computed,not_computed,True,True
312,False,not_computed,not_computed,not_computed,True,True
313,False,not_computed,not_computed,not_computed,True,True
314,False,not_computed,not_computed,not_computed,True,True
315,False,not_computed,not_computed,not_computed,True,True
316,False,not_computed,not_computed,not_computed,True,True
317,False,not_computed,not_computed,not_computed,True,True
318,False,not_computed,not_computed,not_computed,True,True
319,False,not_computed,not_computed,not_computed,True,True
320,False,not_computed,not_computed,not_computed,True,True
321,False,not_computed,not_computed,not_computed,True,True
322,False,not_computed,not_computed,not_computed,True,True
323,False,not_computed,not_computed,not_computed,True,True
324,False,not_computed,not_computed,not_computed,True,True
325,False,not_computed,not_computed,not_computed,True,True
326,False,not_computed,not_computed,not_computed,True,True
327,False,not_computed,not_computed,not_computed,True,True
328,False,not_computed,not_computed,not_computed,True,True
329,False,not_computed,not_computed,not_computed,True,True
330,False,not_computed,not_computed,not_computed,True,True
331,False,not_computed,not_computed,not_computed,True,True
332,False,not_computed,not_computed,not_computed,True,True
333,False,not_computed,not_computed,not_computed,True,True
334,False,not_computed,not_computed,not_computed,True,True
335,False,not_computed,not_computed,not_computed,True,True
336,False,not_computed,not_computed,not_computed,True,True
337,False,not_computed,not_computed,not_computed,True,True
338,False,not_computed,not_computed,not_computed,True,True
339,False,not_computed,not_computed,not_computed,True,True
340,False,not_computed,not_computed,not_computed,True,True
341,False,not_computed,not_computed,not_computed,True,True
342,False,not_computed,not_computed,not_computed,True,True
343,False,not_computed,not_computed,not_computed,True,True
344,False,not_computed,not_computed,not_computed,True,True
345,False,not_computed,not_computed,not_computed,True,True
346,False,not_computed,not_computed,not_computed,True,True
347,False,not_computed,not_computed,not_computed,True,True
348,False,not_computed,not_computed,not_computed,True,True
349,False,not_computed,not_computed,not_computed,True,True
350,False,not_computed,not_computed,not_computed,True,True
351,False,not_computed,not_computed,not_computed,True,True
352,False,not_computed,not_computed,not_computed,True,True
353,False,not_computed,not_computed,not_computed,True,True
354,False,not_computed,not_computed,not_computed,True,True
355,False,not_computed,not_computed,not_computed,True,True
356,False,not_computed,not_computed,not_computed,True,True
357,False,not_computed,not_computed,not_computed,True,True
358,False,not_computed,not_computed,not_computed,True,True
359,False,not_computed,not_computed,not_computed,True,True
360,False,not_computed,not_computed,not_computed,True,True
361,False,not_computed,not_computed,not_computed,True,True
362,False,not_computed,not_computed,not_computed,True,True
363,False,not_computed,not_computed,not_computed,True,True
364,False,not_computed,not_computed,not_computed,True,True
365,False,not_computed,not_computed,not_computed,True,True
366,False,not_computed,not_computed,not_computed,True,True
367,False,not_computed,not_computed,not_computed,True,True
368,False,not_computed,not_computed,not_computed,True,True
369,False,not_computed,not_computed,not_computed,True,True
370,False,not_computed,not_computed,not_computed,True,True
371,False,not_computed,not_computed,not_computed,True,True
372,False,not_computed,not_computed,not_computed,True,True
373,False,not_computed,not_computed,not_computed,True,True
374,False,not_computed,not_computed,not_computed,True,True
375,False,not_computed,not_computed,not_computed,True,True
376,False,not_computed,not_computed,not_computed,True,True
377,False,not_computed,not_computed,not_computed,True,True
378,False,not_computed,not_computed,not_computed,True,True
379,False,not_computed,not_computed,not_computed,True,True
380,False,not_computed,not_computed,not_computed,True,True
381,False,not_computed,not_computed,not_computed,True,True
382,False,not_computed,not_computed,not_computed,True,True
383,False,not_computed,not_computed,not_computed,True,True
384,False,not_computed,not_computed,not_computed,True,True
385,False,not_computed,not_computed,not_computed,True,True
386,False,not_computed,not_computed,not_computed,True,True
387,False,not_computed,not_computed,not_computed,True,True
388,False,not_computed,not_computed,not_computed,True,True
389,False,not_computed,not_computed,not_computed,True,True
390,False,not_computed,not_computed,not_computed,True,True
391,False,not_computed,not_computed,not_computed,True,True
392,False,not_computed,not_computed,not_computed,True,True
393,False,not_computed,not_computed,not_computed,True,True
394,False,not_computed,not_computed,not_computed,True,True
395,False,not_computed,not_computed,not_computed,True,True
396,False,not_computed,not_computed,not_computed,True,True
397,False,not_computed,not_computed,not_computed,True,True
398,False,not_computed,not_computed,not_computed,True,True
399,False,not_computed,not_computed,not_computed,True,True
400,False,not_computed,not_computed,not_computed,True,True
401,False,not_computed,not_computed,not_computed,True,True
402,False,not_computed,not_computed,not_computed,True,True
403,False,not_computed,not_computed,not_computed,True,True
404,False,not_computed,not_computed,not_computed,True,True
405,False,not_computed,not_computed,not_computed,True,True
406,False,not_computed,not_computed,not_computed,True,True
407,False,not_computed,not_computed,not_computed,True,True
408,False,not_computed,not_computed,not_computed,True,True
409,False,not_computed,not_computed,not_computed,True,True
410,False,not_computed,not_computed,not_computed,True,True
411,False,not_computed,not_computed,not_computed,True,True
412,False,not_computed,not_computed,not_computed,True,True
413,False,not_computed,not_computed,not_computed,True,True
414,False,not_computed,not_computed,not_computed,True,True
415,False,not_computed,not_computed,not_computed,True,True
416,False,not_computed,not_computed,not_computed,True,True
417,False,not_computed,not_computed,not_computed,True,True
418,False,not_computed,not_computed,not_computed,True,True
419,False,not_computed,not_computed,not_computed,True,True
420,False,not_computed,not_computed,not_computed,True,True
421,False,not_computed,not_computed,not_computed,True,True
422,False,not_computed,not_computed,not_computed,True,True
423,False,not_computed,not_computed,not_computed,True,True
424,False,not_computed,not_computed,not_computed,True,True
425,False,not_computed,not_computed,not_computed,True,True
426,False,not_computed,not_computed,not_computed,True,True
427,False,not_computed,not_computed,not_computed,True,True
428,False,not_computed,not_computed,not_computed,True,True
429,False,not_computed,not_computed,not_computed,True,True
430,False,not_computed,not_computed,not_computed,True,True
431,False,not_computed,not_computed,not_computed,True,True
432,False,not_computed,not_computed,not_computed,True,True
433,False,not_computed,not_computed,not_computed,True,True
434,False,not_computed,not_computed,not_computed,True,True
435,False,not_computed,not_computed,not_computed,True,True
436,False,not_computed,not_computed,not_computed,True,True
437,False,not_computed,not_computed,not_computed,True,True
438,False,not_computed,not_computed,not_computed,True,True
439,False,not_computed,not_computed,not_computed,True,True
440,False,not_computed,not_computed,not_computed,True,True
441,False,not_computed,not_computed,not_computed,True,True
442,False,not_computed,not_computed,not_computed,True,True
443,False,not_computed,not_computed,not_computed,True,True
444,False,not_computed,not_computed,not_computed,True,True
445,False,not_computed,not_computed,not_computed,True,True
446,False,not_computed,not_computed,not_computed,True,True
447,False,not_computed,not_computed,not_computed,True,True
448,False,not_computed,not_computed,not_computed,True,True
449,False,not_computed,not_computed,not_computed,True,True
450,False,not_computed,not_computed,not_computed,True,True
451,False,not_computed,not_computed,not_computed,True,True
452,False,not_computed,not_computed,not_computed,True,True
453,False,not_computed,not_computed,not_computed,True,True
454,False,not_computed,not_computed,not_computed,True,True
455,False,not_computed,not_computed,not_computed,True,True
456,False,not_computed,not_computed,not_computed,True,True
457,False,not_computed,not_computed,not_computed,True,True
458,False,not_computed,not_computed,not_computed,True,True
459,False,not_computed,not_computed,not_computed,True,True
460,False,not_computed,not_computed,not_computed,True,True
461,False,not_computed,not_computed,not_computed,True,True
462,False,not_computed,not_computed,not_computed,True,True
463,False,not_computed,not_computed,not_computed,True,True
464,False,not_computed,not_computed,not_computed,True,True
465,False,not_computed,not_computed,not_computed,True,True
466,False,not_computed,not_computed,not_computed,True,True
467,False,not_computed,not_computed,not_computed,True,True
468,False,not_computed,not_computed,not_computed,True,True
469,False,not_computed,not_computed,not_computed,True,True
470,False,not_computed,not_computed,not_computed,True,True
471,False,not_computed,not_computed,not_computed,True,True
472,False,not_computed,not_computed,not_computed,True,True
473,False,not_computed,not_computed,not_computed,True,True
474,False,not_computed,not_computed,not_computed,True,True
475,False,not_computed,not_computed,not_computed,True,True
476,False,not_computed,not_computed,not_computed,True,True
477,False,not_computed,not_computed,not_computed,True,True
478,False,not_computed,not_computed,not_computed,True,True
479,False,not_computed,not_computed,not_computed,True,True
480,False,not_computed,not_computed,not_computed,True,True
481,False,not_computed,not_computed,not_computed,True,True
482,False,not_computed,not_computed,not_computed,True,True
483,False,not_computed,not_computed,not_computed,True,True
484,False,not_computed,not_computed,not_computed,True,True
485,False,not_computed,not_computed,not_computed,True,True
486,False,not_computed,not_computed,not_computed,True,True
487,False,not_computed,not_computed,not_computed,True,True
488,False,not_computed,not_computed,not_computed,True,True
489,False,not_computed,not_computed,not_computed,True,True
490,False,not_computed,not_computed,not_computed,True,True
491,False,not_computed,not_computed,not_computed,True,True
492,False,not_computed,not_computed,not_computed,True,True
493,False,not_computed,not_computed,not_computed,True,True
494,False,not_computed,not_computed,not_computed,True,True
495,False,not_computed,not_computed,not_computed,True,True
496,False,not_computed,not_computed,not_computed,True,True
497,False,not_computed,not_computed,not_computed,True,True
498,False,not_computed,not_computed,not_computed,True,True
499,False,not_computed,not_computed,not_computed,True,True
500,False,not_computed,not_computed,not_computed,True,True
